mesh_ui,canonical,synonym
D000005,Abdomen,abdomen
D000009,Abdominal Muscles,transversus abdominis
D000009,Abdominal Muscles,abdominal muscles
D000009,Abdominal Muscles,cremaster muscle
D000009,Abdominal Muscles,quadratus abdominis
D000009,Abdominal Muscles,pyramidalis muscle
D000010,Abducens Nerve,abducens nerve
D000018,Abomasum,abomasum
D000050,Acanthocytes,acanthocytes
D000055,Accessory Nerve,accessory nerve
D000077,Acetabulum,acetabulum
D000125,Achilles Tendon,achilles tendon
D000153,Acne Keloid,acne keloid
D000159,Vestibulocochlear Nerve,vestibulocochlear nerve
D000173,Acromioclavicular Joint,acromioclavicular joint
D000173,Acromioclavicular Joint,coracoacromial arch
D000173,Acromioclavicular Joint,coracoacromial ligament
D000174,Acromion,acromion
D000177,Acrosome,acrosome
D000234,Adenoids,adenoids
D000273,Adipose Tissue,adipose tissue
D000273,Adipose Tissue,body fat
D000273,Adipose Tissue,fat pad
D000290,Adnexa Uteri,adnexa uteri
D000302,Adrenal Cortex,adrenal cortex
D000311,Adrenal Glands,adrenal glands
D000313,Adrenal Medulla,adrenal medulla
D000320,Adrenergic Fibers,adrenergic fibers
D000344,Afferent Pathways,afferent pathways
D000400,Air Sacs,air sacs
D000482,Allantois,allantois
D000539,Alveolar Process,alveolar process
D000539,Alveolar Process,alveolar ridge
D000565,Ameloblasts,ameloblasts
D000650,Amnion,amnion
D000653,Amniotic Fluid,amniotic fluid
D000653,Amniotic Fluid,amniotic fluid index
D000672,Amputation Stumps,amputation stumps
D000679,Amygdala,intercalated amygdaloid nuclei
D000679,Amygdala,amygdala
D000695,Anal Sacs,anal sacs
D000825,Animal Structures,animal structures
D000825,Animal Structures,animal organs
D000842,Ankle,ankle
D000843,Ankle Joint,ankle joint
D000843,Ankle Joint,tibiofibular ankle syndesmosis
D000867,Anterior Chamber,anterior chamber
D000869,Anterior Eye Segment,anterior eye segment
D000870,Anterior Horn Cells,anterior horn cells
D000921,Antibody-Producing Cells,antibody-producing cells
D000921,Antibody-Producing Cells,antibody-secreting cells
D000938,Antigen-Presenting Cells,antigen-presenting cells
D000961,Antilymphocyte Serum,antilymphocyte serum
D000961,Antilymphocyte Serum,atgam
D000961,Antilymphocyte Serum,antilymphocyte globulin
D000961,Antilymphocyte Serum,antilymphoblast globulins
D000961,Antilymphocyte Serum,antithymoglobulin
D000961,Antilymphocyte Serum,pressimmune
D000961,Antilymphocyte Serum,lymphocytotoxic antibodies
D000961,Antilymphocyte Serum,antilymphocyte immunoglobulin
D000961,Antilymphocyte Serum,"lymphocyte immune globulin, anti-thymocyte globulin (equine)"
D000961,Antilymphocyte Serum,antilymphocyte antibodies
D000999,Antlers,antlers
D001003,Anal Canal,external anal sphincter
D001003,Anal Canal,internal anal sphincter
D001003,Anal Canal,anal sphincter
D001003,Anal Canal,anal canal
D001003,Anal Canal,"anal gland, human"
D001003,Anal Canal,anus
D001011,Aorta,aorta
D001012,"Aorta, Abdominal","aorta, abdominal"
D001013,"Aorta, Thoracic",sinotubular junction
D001013,"Aorta, Thoracic","aorta, thoracic"
D001013,"Aorta, Thoracic",aortic root
D001013,"Aorta, Thoracic",aortic arch
D001013,"Aorta, Thoracic","aorta, descending"
D001013,"Aorta, Thoracic",ascending aorta
D001016,Aortic Bodies,aortic bodies
D001021,Aortic Valve,aortic valve
D001050,Apocrine Glands,apocrine glands
D001065,Appendix,appendix
D001078,APUD Cells,apud cells
D001082,Aqueous Humor,aqueous humor
D001082,Aqueous Humor,aqueous flare
D001099,Arachnoid,arachnoid
D001111,Arcuate Nucleus of Hypothalamus,arcuate nucleus of hypothalamus
D001132,Arm,arm
D001133,Bones of Upper Extremity,bones of upper extremity
D001158,Arteries,arteries
D001160,Arterioles,arterioles
D001163,Arteriovenous Anastomosis,arteriovenous anastomosis
D001193,Arytenoid Cartilage,arytenoid cartilage
D001202,Ascitic Fluid,ascitic fluid
D001202,Ascitic Fluid,peritoneal fluid
D001202,Ascitic Fluid,peritoneal effusion
D001253,Astrocytes,astrocytes
D001268,Atlanto-Axial Joint,atlanto-axial joint
D001269,Atlanto-Occipital Joint,atlanto-occipital joint
D001270,Cervical Atlas,arcuate foramen
D001270,Cervical Atlas,cervical atlas
D001283,Atrioventricular Node,atrioventricular node
D001303,Auditory Cortex,primary auditory cortex
D001303,Auditory Cortex,auditory cortex
D001303,Auditory Cortex,transverse temporal gyri
D001303,Auditory Cortex,brodmann area 42
D001303,Auditory Cortex,brodmann area 41
D001306,Auditory Pathways,auditory pathways
D001338,"Autonomic Fibers, Postganglionic","autonomic fibers, postganglionic"
D001339,"Autonomic Fibers, Preganglionic","autonomic fibers, preganglionic"
D001341,Autonomic Nervous System,autonomic nervous system
D001365,Axilla,axilla
D001366,Axillary Artery,axillary artery
D001367,Axillary Vein,axillary vein
D001368,"Axis, Cervical Vertebra","axis, cervical vertebra"
D001368,"Axis, Cervical Vertebra",os odontoideum
D001369,Axons,axons
D001401,Azygos Vein,azygos vein
D001402,B-Lymphocytes,b-lymphocytes
D001415,Back,back
D001472,Bartholin's Glands,bartholin's glands
D001479,Basal Ganglia,basal ganglia
D001485,Basement Membrane,lamina densa
D001485,Basement Membrane,lamina lucida
D001485,Basement Membrane,basement membrane
D001485,Basement Membrane,basal lamina
D001485,Basement Membrane,lamina reticularis
D001488,Basilar Artery,basilar artery
D001489,Basilar Membrane,basilar membrane
D001491,Basophils,basophils
D001502,Beak,beak
D001502,Beak,"bill, avian"
D001641,Bicuspid,bicuspid
D001646,Bile,biliary sludge
D001646,Bile,bile
D001648,Bile Canaliculi,bile canaliculi
D001652,Bile Ducts,bile ducts
D001653,"Bile Ducts, Intrahepatic","bile ducts, intrahepatic"
D001659,Biliary Tract,biliary tract
D001743,Urinary Bladder,bladder detrusor muscle
D001743,Urinary Bladder,urinary bladder
D001755,Blastocyst,blastocyst
D001756,Blastoderm,blastoderm
D001757,Blastomeres,blastocytes
D001757,Blastomeres,blastomeres
D001769,Blood,blood
D001773,Blood Cells,blood cells
D001792,Blood Platelets,blood platelets
D001808,Blood Vessels,blood vessels
D001812,Blood-Brain Barrier,blood-brain barrier
D001813,Blood-Retinal Barrier,blood-retinal barrier
D001814,Blood-Testis Barrier,blood-testis barrier
D001825,Body Fluid Compartments,body fluid compartments
D001826,Body Fluids,body fluids
D001829,Body Regions,body regions
D001834,Body Water,body water
D001842,Bone and Bones,condyle
D001842,Bone and Bones,bones
D001842,Bone and Bones,bone tissue
D001842,Bone and Bones,bone and bones
D001853,Bone Marrow,bone marrow
D001853,Bone Marrow,yellow marrow
D001853,Bone Marrow,marrow
D001853,Bone Marrow,red marrow
D001854,Bone Marrow Cells,bone marrow cells
D001857,Bone Matrix,bone matrix
D001916,Brachial Artery,brachial artery
D001917,Brachial Plexus,brachial plexus
D001921,Brain,brain
D001933,Brain Stem,brain stem
D001934,Branchial Region,branchial region
D001934,Branchial Region,branchial clefts
D001934,Branchial Region,branchial arch
D001940,Breast,breast
D001956,Broad Ligament,broad ligament
D001980,Bronchi,bronchi
D001980,Bronchi,secondary bronchi
D001980,Bronchi,tertiary bronchi
D001980,Bronchi,primary bronchi
D001981,Bronchial Arteries,bronchial arteries
D002001,"Adipose Tissue, Brown","adipose tissue, brown"
D002001,"Adipose Tissue, Brown",hibernating gland
D002011,Brunner Glands,brunner glands
D002030,Bulbourethral Glands,bulbourethral glands
D002036,Bundle of His,right bundle branch of his
D002036,Bundle of His,bundle of his
D002036,Bundle of His,left bundle branch of his
D002036,Bundle of His,anterior fascicle
D002036,Bundle of His,posterior fascicle
D002060,Bursa of Fabricius,bursa of fabricius
D002061,"Bursa, Synovial","bursa, synovial"
D002081,Buttocks,buttocks
D002081,Buttocks,gluteal region
D002111,Calcaneus,calcaneus
D002146,Bony Callus,bony callus
D002196,Capillaries,capillary beds
D002196,Capillaries,capillaries
D002196,Capillaries,sinusoidal beds
D002213,Capsid,procapsid
D002213,Capsid,capsid
D002299,Cardia,cardia
D002319,Cardiovascular System,cardiovascular system
D002339,Carotid Arteries,carotid arteries
D002342,"Carotid Artery, External","carotid artery, external"
D002343,"Carotid Artery, Internal","carotid artery, internal"
D002344,Carotid Body,carotid body
D002346,Carotid Sinus,carotid sinus
D002348,Carpal Bones,carpal bones
D002350,"Carpus, Animal","carpus, animal"
D002356,Cartilage,cartilage
D002358,"Cartilage, Articular","cartilage, articular"
D002420,Cauda Equina,filum terminale
D002420,Cauda Equina,cauda equina
D002421,Caudate Nucleus,caudate nucleus
