mesh_ui,canonical,synonym
D000007,Abdominal Injuries,abdominal injuries
D000008,Abdominal Neoplasms,abdominal neoplasms
D000012,Abetalipoproteinemia,abetalipoproteinemia
D000013,Congenital Abnormalities,fetal malformations
D000013,Congenital Abnormalities,fetal anomalies
D000013,Congenital Abnormalities,congenital abnormalities
D000014,"Abnormalities, Drug-Induced","abnormalities, drug-induced"
D000015,"Abnormalities, Multiple","abnormalities, multiple"
D000016,"Abnormalities, Radiation-Induced","abnormalities, radiation-induced"
D000022,"Abortion, Spontaneous",early pregnancy loss
D000022,"Abortion, Spontaneous",miscarriage
D000022,"Abortion, Spontaneous","abortion, tubal"
D000022,"Abortion, Spontaneous","abortion, spontaneous"
D000026,"Abortion, Habitual","abortion, habitual"
D000027,"Abortion, Incomplete","abortion, incomplete"
D000030,"Abortion, Missed","abortion, missed"
D000031,"Abortion, Septic","abortion, septic"
D000033,"Abortion, Threatened","abortion, threatened"
D000034,"Abortion, Veterinary","abortion, veterinary"
D000037,Abruptio Placentae,abruptio placentae
D000038,Abscess,abscess
D000039,Peritonsillar Abscess,peritonsillar abscess
D000051,Acantholysis,acantholysis
D000052,Acanthosis Nigricans,acanthosis nigricans
D000126,Achlorhydria,hypochlorhydria
D000126,Achlorhydria,achlorhydria
D000130,Achondroplasia,"achondroplasia, severe, with developmental delay and acanthosis nigricans"
D000130,Achondroplasia,achondroplasia
D000137,Acid-Base Imbalance,acid-base imbalance
D000138,Acidosis,acidosis
D000138,Acidosis,metabolic acidosis
D000140,"Acidosis, Lactic","acidosis, lactic"
D000141,"Acidosis, Renal Tubular","renal tubular acidosis, type i"
D000141,"Acidosis, Renal Tubular","acidosis, renal tubular"
D000141,"Acidosis, Renal Tubular","renal tubular acidosis, type ii"
D000142,"Acidosis, Respiratory","acidosis, respiratory"
D000151,Acinetobacter Infections,acinetobacter infections
D000152,Acne Vulgaris,acne vulgaris
D000152,Acne Vulgaris,acne
D000153,Acne Keloid,acne keloid
D000160,Vestibulocochlear Nerve Diseases,acoustic nerve diseases
D000160,Vestibulocochlear Nerve Diseases,cochlear neuritis
D000160,Vestibulocochlear Nerve Diseases,vestibular nerve diseases
D000160,Vestibulocochlear Nerve Diseases,vestibulocochlear nerve diseases
D000163,Acquired Immunodeficiency Syndrome,acquired immunodeficiency syndrome
D000168,Acrocephalosyndactylia,pfeiffer syndrome
D000168,Acrocephalosyndactylia,apert-crouzon disease
D000168,Acrocephalosyndactylia,acrocephalosyndactylia
D000168,Acrocephalosyndactylia,saethre-chotzen syndrome
D000168,Acrocephalosyndactylia,apert syndrome
D000169,Acrodermatitis,gianotti-crosti syndrome
D000169,Acrodermatitis,acrodermatitis
D000170,Acrodynia,acrodynia
D000172,Acromegaly,acromegaly
D000182,"ACTH Syndrome, Ectopic","acth syndrome, ectopic"
D000187,Actinobacillosis,actinobacillosis
D000189,Actinobacillus Infections,actinobacillus infections
D000193,Actinomycetales Infections,actinomycetales infections
D000196,Actinomycosis,actinomycosis
D000197,"Actinomycosis, Cervicofacial","actinomycosis, cervicofacial"
D000219,Adams-Stokes Syndrome,adams-stokes syndrome
D000224,Addison Disease,addison disease
D000230,Adenocarcinoma,"carcinoma, granular cell"
D000230,Adenocarcinoma,"adenocarcinoma, oxyphilic"
D000230,Adenocarcinoma,"adenocarcinoma, tubular"
D000230,Adenocarcinoma,adenocarcinoma
D000230,Adenocarcinoma,"carcinoma, cribriform"
D000230,Adenocarcinoma,"adenocarcinoma, basal cell"
D000231,"Adenocarcinoma, Papillary","adenocarcinoma, papillary"
D000232,Adenofibroma,fibroadenosis
D000232,Adenofibroma,adenofibroma
D000235,Adenolymphoma,adenolymphoma
D000236,Adenoma,"adenoma, basal cell"
D000236,Adenoma,"adenoma, monomorphic"
D000236,Adenoma,"adenoma, microcystic"
D000236,Adenoma,"adenoma, papillary"
D000236,Adenoma,"adenoma, follicular"
D000236,Adenoma,"adenoma, trabecular"
D000236,Adenoma,adenoma
D000237,"Adenoma, Basophil","adenoma, basophil"
D000238,"Adenoma, Chromophobe","adenoma, chromophobe"
D000239,"Adenoma, Acidophil","adenoma, acidophil"
D000257,Adenoviridae Infections,adenoviridae infections
D000258,"Adenovirus Infections, Human","adenovirus infections, human"
D000258,"Adenovirus Infections, Human",pharyngo-conjunctival fever
D000270,Adie Syndrome,adie syndrome
D000274,Adiposis Dolorosa,adiposis dolorosa
D000291,Adnexal Diseases,adnexal diseases
D000292,Pelvic Inflammatory Disease,adnexitis
D000292,Pelvic Inflammatory Disease,pelvic inflammatory disease
D000303,Adrenal Cortex Diseases,adrenal cortex diseases
D000306,Adrenal Cortex Neoplasms,adrenocortical cancer
