mesh_ui,canonical,synonym
D000158,Acoustic Impedance Tests,"audiometry, impedance"
D000158,Acoustic Impedance Tests,electroacoustic impedance tests
D000158,Acoustic Impedance Tests,tympanometry
D000158,Acoustic Impedance Tests,acoustic impedance tests
D000304,Adrenal Cortex Function Tests,adrenal cortex function tests
D000365,Age Determination by Skeleton,skeletal age measurement
D000365,Age Determination by Skeleton,skeletal maturation index
D000365,Age Determination by Skeleton,bone age measurement
D000365,Age Determination by Skeleton,age determination by skeleton
D000366,Age Determination by Teeth,age determination by teeth
D000372,Agglutination Tests,agglutination tests
D000403,Airway Resistance,airway resistance
D000513,Alpha Rhythm,alpha rhythm
D000649,Amniocentesis,amniocentesis
D000790,Angiocardiography,angiocardiography
D000792,Angiography,angiography
D000792,Angiography,angiogram
D000792,Angiography,arteriography
D000886,Anthropometry,anthropometry
D000919,"Antibody-Coated Bacteria Test, Urinary","antibody-coated bacteria test, urinary"
D001027,Aortography,aortography
D001034,Apgar Score,apgar score
D001175,Arthrography,arthrography
D001182,Arthroscopy,arthroscopic surgical procedures
D001182,Arthroscopy,arthroscopy
D001299,Audiometry,audiometry
D001300,"Audiometry, Evoked Response","audiometry, evoked response"
D001300,"Audiometry, Evoked Response",electrocochleography
D001301,"Audiometry, Pure-Tone","audiometry, pure-tone"
D001301,"Audiometry, Pure-Tone","audiometry, bekesy"
D001302,"Audiometry, Speech","audiometry, speech"
D001314,Auscultation,auscultation
D001344,Autopsy,autopsy
D001345,Autoradiography,autoradiography
D001405,"Reflex, Babinski","reflex, babinski"
D001405,"Reflex, Babinski",babinski sign absent
D001431,Bacteriological Techniques,bacteriological techniques
D001434,Bacteriophage Typing,bacteriophage typing
D001450,Ballistocardiography,ballistocardiography
D001611,Beta Rhythm,beta rhythm
D001706,Biopsy,biopsy
D001707,"Biopsy, Needle",aspiration biopsy
D001707,"Biopsy, Needle","biopsy, needle"
D001724,Birth Weight,birth weight
D001760,Bleeding Time,template bleeding time
D001760,Bleeding Time,aspirin tolerance test
D001760,Bleeding Time,duke method
D001760,Bleeding Time,ivy method
D001760,Bleeding Time,bleeding time
D001772,Blood Cell Count,"blood count, complete"
D001772,Blood Cell Count,blood cell count
D001774,Blood Chemical Analysis,blood chemical analysis
D001776,Blood Circulation Time,blood circulation time
D001780,Blood Coagulation Tests,blood coagulation tests
D001783,Blood Flow Velocity,blood flow velocity
D001784,Blood Gas Analysis,blood gas analysis
D001785,"Blood Gas Monitoring, Transcutaneous",ptco2
D001785,"Blood Gas Monitoring, Transcutaneous",transcutaneous capnometry
D001785,"Blood Gas Monitoring, Transcutaneous",cutaneous oximetry
D001785,"Blood Gas Monitoring, Transcutaneous","blood gas monitoring, transcutaneous"
D001785,"Blood Gas Monitoring, Transcutaneous",tcpco2
D001788,Blood Grouping and Crossmatching,blood typing
D001788,Blood Grouping and Crossmatching,"crossmatching, blood"
D001788,Blood Grouping and Crossmatching,blood grouping and crossmatching
D001794,Blood Pressure,systolic pressure
D001794,Blood Pressure,blood pressure
D001794,Blood Pressure,diastolic pressure
D001794,Blood Pressure,pulse pressure
D001795,Blood Pressure Determination,blood pressure determination
D001797,Blood Protein Electrophoresis,blood protein electrophoresis
D001797,Blood Protein Electrophoresis,hemoglobin electrophoresis
D001799,Blood Sedimentation,erythrocyte sedimentation rate
D001799,Blood Sedimentation,blood sedimentation
D001800,Blood Specimen Collection,blood specimen collection
D001806,Blood Urea Nitrogen,blood urea nitrogen
D001811,Blood Volume Determination,blood volume determination
D001824,Body Constitution,body constitution
D001827,Body Height,body height
D001830,Body Surface Area,body surface area
D001831,Body Temperature,body temperature
D001831,Body Temperature,organ temperature
D001835,Body Weight,body weight
D001837,Body Weights and Measures,body measures
D001837,Body Weights and Measures,body weights and measures
D001856,Bone Marrow Examination,bone marrow examination
D001931,Brain Mapping,topographic brain mapping
D001931,Brain Mapping,brain electrical activity mapping
D001931,Brain Mapping,brain mapping
D001931,Brain Mapping,functional cerebral localization
D001944,Breath Tests,breath tests
D001944,Breath Tests,breathalyzer tests
D001985,Bronchial Provocation Tests,bronchial provocation tests
D001995,Bronchography,bronchography
D001999,Bronchoscopy,bronchoscopic surgical procedures
D001999,Bronchoscopy,bronchoscopy
D002000,Bronchospirometry,bronchospirometry
D002150,Caloric Tests,caloric tests
D002150,Caloric Tests,barany's test
D002198,Capillary Fragility,capillary fragility
D002302,Cardiac Output,cardiac output
D002307,"Cardiography, Impedance","cardiography, impedance"
D002407,"Catheterization, Swan-Ganz",pulmonary artery catheterization
D002407,"Catheterization, Swan-Ganz","catheterization, swan-ganz"
D002452,Cell Count,cell count
D002452,Cell Count,cell density
D002469,Cell Separation,cell separation
D002508,Cephalometry,craniometry
D002508,Cephalometry,cephalometry
D002533,Cerebral Angiography,cerebral angiography
D002758,Cholangiography,cholangiography
D002760,"Cholangiopancreatography, Endoscopic Retrograde","cholangiopancreatography, endoscopic retrograde"
D002765,Cholecystography,cholecystography
D002871,Chromosome Banding,chromosome banding
D002932,Cineangiography,cineangiography
D002933,Cineradiography,cineradiography
D003011,Closing Volume,closing volume
D003018,Clot Retraction,clot retraction
D003113,Colonoscopy,colonoscopic surgical procedures
D003113,Colonoscopy,colonoscopy
D003114,Colony-Forming Units Assay,colony-forming units assay
D003119,Color Perception Tests,color perception tests
D003127,Colposcopy,colposcopy
D003127,Colposcopy,colposcopic surgical procedures
D003168,Complement Fixation Tests,conglutinating complement absorption test
D003168,Complement Fixation Tests,complement fixation tests
D003298,Coombs Test,coombs test
D003298,Coombs Test,anti-human globulin consumption test
D003298,Coombs Test,direct coombs test
D003298,Coombs Test,indirect coombs test
D003321,Cornell Medical Index,cornell medical index
D003344,Cortical Synchronization,cortical synchronization
D003344,Cortical Synchronization,cortical desynchronization
D003378,Counterimmunoelectrophoresis,counterimmunoelectrophoresis
D003464,Culdoscopy,culdoscopic surgical procedures
D003464,Culdoscopy,culdoscopy
D003558,Cystoscopy,cystoscopic surgical procedures
D003558,Cystoscopy,cystoscopy
D003581,Cytodiagnosis,cytodiagnosis
D003584,Cytological Techniques,cytological techniques
D003588,"Cytopathogenic Effect, Viral","cytopathogenic effect, viral"
D003592,Cytophotometry,cytophotometry
D003601,"Cytotoxicity Tests, Immunologic","cytotoxicity tests, immunologic"
D003601,"Cytotoxicity Tests, Immunologic",microcytotoxicity test
D003601,"Cytotoxicity Tests, Immunologic",anti-human globulin complement-dependent cytotoxicity tests
D003601,"Cytotoxicity Tests, Immunologic","lymphocytotoxicity tests, antiglobulin-augmented"
D003648,Decalcification Technique,decalcification technique
D003700,Delta Rhythm,delta rhythm
D003933,Diagnosis,diagnosis
D003933,Diagnosis,postmortem diagnosis
D003933,Diagnosis,antemortem diagnosis
D003933,Diagnosis,diagnoses and examinations
D003935,"Diagnostic Techniques, Cardiovascular","diagnostic techniques, cardiovascular"
D003936,"Diagnosis, Computer-Assisted","diagnosis, computer-assisted"
D003937,"Diagnosis, Differential","diagnosis, differential"
D003938,"Diagnostic Techniques, Digestive System","diagnostic techniques, digestive system"
D003939,"Diagnostic Techniques, Otological","diagnostic techniques, otological"
D003940,"Diagnostic Techniques, Endocrine","diagnostic techniques, endocrine"
D003941,"Diagnostic Techniques, Ophthalmological","diagnostic techniques, ophthalmological"
D003943,"Diagnostic Techniques, Neurological","diagnostic techniques, neurological"
D003944,"Diagnostic Techniques, Obstetrical and Gynecological","diagnostic techniques, obstetrical and gynecological"
D003947,"Diagnostic Techniques, Radioisotope","diagnostic techniques, radioisotope"
D003948,"Diagnostic Techniques, Respiratory System","diagnostic techniques, respiratory system"
D003949,"Diagnostic Techniques, Surgical","diagnostic techniques, surgical"
D003950,"Diagnostic Techniques, Urological","diagnostic techniques, urological"
D003951,Diagnostic Errors,misdiagnosis
D003951,Diagnostic Errors,diagnostic errors
D003951,Diagnostic Errors,diagnostic blind spots
D003952,Diagnostic Imaging,diagnostic imaging
D003952,Diagnostic Imaging,medical imaging
D003955,"Diagnostic Tests, Routine",diagnostic tests
D003955,"Diagnostic Tests, Routine","physical examination, preadmission"
D003955,"Diagnostic Tests, Routine","admission tests, routine"
D003955,"Diagnostic Tests, Routine","diagnostic tests, routine"
D003955,"Diagnostic Tests, Routine",hospital admission tests
D004007,Dichotic Listening Tests,dichotic listening tests
D004185,Disability Evaluation,disability evaluation
D004210,Dissection,dissection
D004354,"Drug Screening Assays, Antitumor","dye exclusion assays, antitumor"
D004354,"Drug Screening Assays, Antitumor","drug screening assays, antitumor"
D004384,Duodenoscopy,duodenoscopic surgical procedures
D004384,Duodenoscopy,duodenoscopy
D004452,Echocardiography,echocardiography
D004452,Echocardiography,"echocardiography, m-mode"
D004452,Echocardiography,"echocardiography, contrast"
D004452,Echocardiography,"echocardiography, cross-sectional"
D004452,Echocardiography,2d echocardiography
D004453,Echoencephalography,echoencephalography
D004562,Electrocardiography,electrocardiograph
D004562,Electrocardiography,electrocardiogram
D004562,Electrocardiography,12-lead ecg
D004562,Electrocardiography,electrocardiography
D004568,Electrodiagnosis,electrodiagnosis
D004569,Electroencephalography,electroencephalogram
D004569,Electroencephalography,electroencephalography
D004571,Electrokymography,photokymography
D004571,Electrokymography,electrokymography
D004576,Electromyography,electromyography
D004576,Electromyography,surface electromyography
D004576,Electromyography,electromyogram
D004577,Electron Probe Microanalysis,electron probe microanalysis
D004584,Electronystagmography,electronystagmography
D004585,Electrooculography,electrooculography
D004585,Electrooculography,electrooculograms
D004596,Electroretinography,electroretinography
D004724,Endoscopy,"surgical procedures, endoscopic"
D004724,Endoscopy,endoscopy
D004796,Clinical Enzyme Tests,clinical enzyme tests
D004903,Erythrocyte Aggregation,"erythrocyte aggregation, intravascular"
D004903,Erythrocyte Aggregation,"rouleaux formation, erythrocyte"
D004903,Erythrocyte Aggregation,"agglutination, intravascular"
D004903,Erythrocyte Aggregation,erythrocyte aggregation
D004906,Erythrocyte Count,erythrocyte count
D004909,Erythrocyte Indices,mean corpuscular hemoglobin
D004909,Erythrocyte Indices,erythrocyte diameter
D004909,Erythrocyte Indices,mean corpuscular volume
D004909,Erythrocyte Indices,erythrocyte indices
D004909,Erythrocyte Indices,mean corpuscular hemoglobulin concentration
D004909,Erythrocyte Indices,erythrocyte thickness
D004909,Erythrocyte Indices,erythrocyte size determination
D004909,Erythrocyte Indices,red cell distribution width
D004945,Esophagoscopy,esophagoscopic surgical procedures
D004945,Esophagoscopy,esophagoscopy
D005080,Exercise Test,fitness testing
D005080,Exercise Test,eurofit test battery
D005080,Exercise Test,treadmill test
D005080,Exercise Test,step test
D005080,Exercise Test,stress test
D005080,Exercise Test,exercise test
D005080,Exercise Test,bicycle ergometry test
D005080,Exercise Test,physical fitness testing
D005080,Exercise Test,cardiopulmonary exercise test
D005080,Exercise Test,arm ergometry test
D005105,Expiratory Reserve Volume,expiratory reserve volume
D005149,Facial Expression,facial expression
D005186,Fallopian Tube Patency Tests,fallopian tube patency tests
D005188,False Negative Reactions,false negative reactions
D005189,False Positive Reactions,false positive reactions
D005323,Fetal Monitoring,fetal monitoring
D005332,Fetoscopy,amnioscopy
D005332,Fetoscopy,embryoscopic surgical procedures
D005332,Fetoscopy,fetoscopy
D005332,Fetoscopy,amnioscopic surgical procedures
D005332,Fetoscopy,embryoscopy
