mesh_ui,canonical,synonym
D000006,"Abdomen, Acute","abdomen, acute"
D000038,Abscess,abscess
D000051,Acantholysis,acantholysis
D000208,Acute Disease,acute disease
D000210,Acute-Phase Reaction,acute-phase reaction
D000219,Adams-Stokes Syndrome,adams-stokes syndrome
D000267,Tissue Adhesions,surgical adhesions
D000267,Tissue Adhesions,tissue adhesions
D000334,Aerophagy,aerophagy
D000343,Afferent Loop Syndrome,afferent loop syndrome
D000370,Ageusia,"ageusia, hysterical"
D000370,Ageusia,ageusia
D000370,Ageusia,hypogeusia
D000370,Ageusia,taste-blindness
D000377,Agnosia,tactile agnosia
D000377,Agnosia,time agnosia
D000377,Agnosia,anosognosia
D000377,Agnosia,auditory agnosia
D000377,Agnosia,finger agnosia
D000377,Agnosia,position agnosia
D000377,Agnosia,visuospatial agnosia
D000377,Agnosia,agnosia
D000377,Agnosia,agnosia for taste
D000377,Agnosia,agnosia for pain
D000377,Agnosia,agnosia for smell
D000377,Agnosia,body-image agnosia
D000377,Agnosia,ideational agnosia
D000377,Agnosia,visual agnosia
D000377,Agnosia,agnosia for temperature
D000377,Agnosia,visual agnosia for objects
D000377,Agnosia,developmental agnosia
D000377,Agnosia,somatosensory agnosia
D000377,Agnosia,topographical agnosia
D000377,Agnosia,"auditory agnosia, congenital"
D000377,Agnosia,sensory agnosia
D000381,Agraphia,pure agraphia
D000381,Agraphia,dysgraphia
D000381,Agraphia,agraphia
D000381,Agraphia,constructional agraphia
D000381,Agraphia,developmental agraphia
D000381,Agraphia,acquired agraphia
D000419,Albuminuria,albuminuria
D000505,Alopecia,alopecia
D000505,Alopecia,female pattern baldness
D000505,Alopecia,pseudopelade
D000505,Alopecia,androgenetic alopecia
D000505,Alopecia,"alopecia, male pattern"
D000550,Amblyopia,"amblyopia, developmental"
D000550,Amblyopia,amblyopia
D000550,Amblyopia,lazy eye
D000550,Amblyopia,anisometropic amblyopia
D000550,Amblyopia,"amblyopia, suppression"
D000568,Amenorrhea,postpartum amenorrhea
D000568,Amenorrhea,amenorrhea
D000647,Amnesia,amnesia
D000647,Amnesia,"amnesia, global"
D000647,Amnesia,"amnesia, tactile"
D000647,Amnesia,"amnesia, hysterical"
D000647,Amnesia,amnestic state
D000647,Amnesia,"amnesia, dissociative"
D000647,Amnesia,"amnesia, temporary"
D000648,"Amnesia, Retrograde","amnesia, pre-ictal"
D000648,"Amnesia, Retrograde","amnesia, retrograde"
D000648,"Amnesia, Retrograde",pre-ictal memory loss
D000648,"Amnesia, Retrograde","memory loss, retrograde"
D000708,Anaplasia,anaplasia
D000782,Aneuploidy,aneuploid cell
D000782,Aneuploidy,aneuploidy
D000787,Angina Pectoris,angina pectoris
D000788,"Angina Pectoris, Variant","angina pectoris, variant"
D000789,"Angina, Unstable","angina, unstable"
