mesh_ui,canonical,synonym
D000001,Calcimycin,calcimycin
D000001,Calcimycin,a-23187
D000002,Temefos,difos
D000002,Temefos,temefos
D000002,Temefos,abate
D000017,ABO Blood-Group System,abo blood-group system
D000017,ABO Blood-Group System,blood group h type 1 antigen
D000017,ABO Blood-Group System,abo factors
D000019,Abortifacient Agents,abortifacient effect
D000019,Abortifacient Agents,abortifacient agents
D000020,"Abortifacient Agents, Nonsteroidal","abortifacient agents, nonsteroidal"
D000021,"Abortifacient Agents, Steroidal","abortifacient agents, steroidal"
D000036,Abrin,abrin c
D000036,Abrin,abrin a
D000036,Abrin,abrin
D000040,Abscisic Acid,"abscisic acid, (e,e)-(+-)-isomer"
D000040,Abscisic Acid,"abscisic acid, (z,e)-isomer"
D000040,Abscisic Acid,"abscisic acid monoammonium salt, (r)-isomer"
D000040,Abscisic Acid,"abscisic acid, (e,z)-(+,-)-isomer"
D000040,Abscisic Acid,"abscisic acid, (+,-)-isomer"
D000040,Abscisic Acid,abscisic acid
D000040,Abscisic Acid,"abscisic acid, (r)-isomer"
D000070,Acebutolol,acebutolol
D000070,Acebutolol,prent
D000070,Acebutolol,neptal
D000070,Acebutolol,apo-acebutolol
D000070,Acebutolol,sectral
D000070,Acebutolol,rhotral
D000070,Acebutolol,acebutolol hydrochloride
D000070,Acebutolol,m&b-17803 a
D000070,Acebutolol,novo-acebutolol
D000072,Acedapsone,rodilone
D000072,Acedapsone,hansolar
D000072,Acedapsone,acedapsone
D000073,Acenaphthenes,acenaphthenes
D000074,Acenocoumarol,sinthrome
D000074,Acenocoumarol,syncumar
D000074,Acenocoumarol,sintrom
D000074,Acenocoumarol,acenocoumarol
D000074,Acenocoumarol,synthrom
D000074,Acenocoumarol,sinkumar
D000074,Acenocoumarol,syncoumar
D000075,Acepromazine,plegicil
D000075,Acepromazine,acepromazine
D000075,Acepromazine,acepromazine maleate
D000075,Acepromazine,calmivet
D000075,Acepromazine,vetranquil
D000079,Acetaldehyde,acetaldehyde
D000080,Acetals,acetals
D000081,Acetamides,acetamides
D000082,Acetaminophen,acetaminophen
D000082,Acetaminophen,anacin-3
D000082,Acetaminophen,tylenol
D000082,Acetaminophen,acephen
D000082,Acetaminophen,acetaco
D000082,Acetaminophen,datril
D000082,Acetaminophen,panadol
D000082,Acetaminophen,acamol
D000082,Acetaminophen,algotropyl
D000083,Acetanilides,acetanilides
D000084,Acetate Kinase,acetate kinase
D000085,Acetates,acetic acid esters
D000085,Acetates,acetic acids
D000085,Acetates,acetates
D000086,Acetazolamide,"acetazolamide sodium, (sterile)"
D000086,Acetazolamide,edemox
D000086,Acetazolamide,"acetazolamide, monosodium salt"
D000086,Acetazolamide,diamox
D000086,Acetazolamide,ak-zol
D000086,Acetazolamide,acetazolamide
D000086,Acetazolamide,glauconox
D000086,Acetazolamide,acetazolam
D000086,Acetazolamide,glaupax
D000086,Acetazolamide,huma-zolamide
D000086,Acetazolamide,apo-acetazolamide
D000086,Acetazolamide,défiltran
D000086,Acetazolamide,diacarb
D000086,Acetazolamide,acetadiazol
D000086,Acetazolamide,diuramide
D000089,Acetic Anhydrides,acetic anhydrides
D000090,Acetoacetates,acetoacetates
D000092,Acetohexamide,gamadiabet
D000092,Acetohexamide,acetohexamide
D000092,Acetohexamide,dymelor
D000093,Acetoin,acetoin
D000094,Acetoin Dehydrogenase,diacetyl reductase ((s)-acetoin forming)
D000094,Acetoin Dehydrogenase,acetoin dehydrogenase
D000094,Acetoin Dehydrogenase,diacetyl reductase ((r)-acetoin forming)
D000095,Acetolactate Synthase,acetohydroxyacid synthetase i
D000095,Acetolactate Synthase,acetoxyhydroxyacid synthase iii
D000095,Acetolactate Synthase,acetolactate synthase
D000096,Acetone,acetone
D000097,Acetonitriles,acetonitriles
D000098,Acetophenones,acetophenones
D000099,Acetoxyacetylaminofluorene,acetoxyacetylaminofluorene
D000100,Acetrizoic Acid,visotrast 400
D000100,Acetrizoic Acid,acetrizoate sodium
D000100,Acetrizoic Acid,jodopax
D000100,Acetrizoic Acid,triiotrast
D000100,Acetrizoic Acid,salpix
D000100,Acetrizoic Acid,acetrizoic acid
D000100,Acetrizoic Acid,visotrast 300
D000101,Acetyl-CoA C-Acetyltransferase,acetyl-coa c-acetyltransferase
D000102,Acetyl-CoA C-Acyltransferase,acetyl-coa c-acyltransferase
D000103,Acetyl-CoA Carboxylase,acetyl-coa carboxylase
D000104,Acetyl-CoA Hydrolase,acetyl-coa hydrolase
D000105,Acetyl Coenzyme A,acetyl coenzyme a
D000106,Acetate-CoA Ligase,acetate-coa ligase
